BRE,HEA,SEC,INE,FAC,HAS,HAB,SIL,UGL,UNT,UNE,PR,POL,VAX,DIS,EXA,ROB
5,5,1,1,1,1,4,1,1,1,1,1,2,44,0,4,10
2,2,2,1,1,2,1,2,2,2,2,2,2,15,0,3,3
7,7,6,6,6,7,7,4,5,5,5,7,1,45,3,12,2
6,4,2,1,1,6,7,3,3,2,6,2,5,37,0,0,3
5,1,1,1,2,1,5,1,1,1,1,1,1,34,0,0,7
1,1,2,2,2,1,1,1,1,1,1,1,7,36,0,0,1
4,4,4,3,2,3,5,4,4,2,4,3,5,26,1,3,6
6,5,5,4,5,2,4,3,2,2,2,1,2,24,1,2,7
5,5,6,1,5,1,5,5,3,1,1,6,4,37,0,5,2
1,1,3,2,2,2,5,5,5,1,3,5,4,38,1,5,5
5,3,1,1,1,2,2,1,1,1,1,1,5,24,0,0,0
5,5,4,2,2,2,2,2,2,5,5,2,4,19,0,0,4
1,2,5,2,5,2,5,1,1,1,5,5,2,43,0,1,3
5,2,2,2,2,2,2,4,5,4,4,4,4,36,3,3,9
1,1,1,2,2,2,3,1,1,1,1,1,4,21,0,1,5
7,7,7,7,7,7,7,7,7,7,7,7,5,49,6,10,6
5,3,4,1,1,1,1,1,1,1,1,2,2,34,0,0,4
2,6,2,2,2,2,2,4,4,2,2,4,3,18,0,3,6
5,5,1,1,1,1,1,1,1,1,1,1,1,27,0,0,0
2,2,2,2,2,2,2,2,2,2,2,2,3,32,1,0,4
5,5,2,2,2,1,5,4,2,4,4,4,1,40,0,1,0
5,4,4,4,4,3,3,4,4,4,4,4,2,40,6,6,6
5,5,3,2,2,1,5,4,2,1,2,1,4,43,1,0,6
5,5,5,4,4,4,4,5,5,2,2,4,5,28,3,5,5
6,7,7,2,2,2,3,4,4,1,5,1,4,37,0,0,2
4,4,4,4,4,4,4,4,4,4,4,7,5,65,6,7,6
2,5,4,5,5,3,5,5,3,5,6,5,7,46,2,5,2
7,6,7,6,6,4,5,2,2,1,1,6,4,51,0,0,4
6,6,1,1,6,3,4,5,5,5,4,4,2,51,3,7,4
5,1,1,1,1,1,1,1,1,1,1,1,1,23,0,0,4
1,5,5,1,1,1,5,5,5,1,1,1,4,26,0,0,4
5,4,5,3,4,2,3,4,4,4,1,1,4,35,1,0,6
3,3,2,2,2,2,2,2,2,2,2,2,2,27,2,1,4
6,6,2,4,2,5,6,1,1,1,1,2,1,19,0,0,0
6,7,5,3,2,2,1,2,2,1,2,1,4,26,1,3,5
2,2,2,2,2,4,5,2,2,2,2,2,4,41,0,0,0
4,4,4,4,4,4,4,4,4,4,4,4,8,45,5,5,6
5,5,6,2,4,4,1,1,1,1,4,1,4,50,0,1,6
6,6,5,4,4,4,4,1,1,1,1,1,4,31,0,0,0
3,5,4,2,2,1,3,2,1,1,1,1,1,49,0,0,6
5,6,4,2,2,3,3,3,3,2,2,2,5,51,1,3,6
1,1,1,1,1,1,1,1,1,1,1,1,2,60,2,0,6
4,5,2,2,2,1,3,1,1,4,4,1,4,41,0,2,0
5,6,2,2,2,4,4,4,4,4,4,4,1,31,2,0,6
1,2,1,1,1,1,6,6,5,1,1,1,5,21,0,0,0
2,2,5,2,2,2,2,2,2,2,2,2,7,46,5,4,6
2,2,3,1,2,2,2,1,2,1,2,2,3,40,2,0,4
5,5,4,2,3,4,5,3,2,1,2,5,3,28,1,0,9
7,6,2,2,2,2,5,2,2,2,2,1,4,24,0,0,0
1,1,1,5,1,1,1,1,1,1,1,1,5,48,0,5,1
2,2,1,1,1,2,2,1,1,2,2,2,3,47,2,3,2
5,5,3,2,2,5,6,4,3,2,2,5,5,27,1,3,4
6,6,6,6,5,5,3,2,2,2,6,6,7,43,3,3,4
6,6,7,5,5,5,6,6,6,3,3,7,7,72,1,10,7
5,4,5,5,4,3,5,3,5,5,3,4,2,41,4,2,6
2,3,3,2,2,4,4,4,7,2,4,3,4,29,1,3,5
5,4,3,2,2,2,3,4,3,3,3,4,4,44,0,3,5
6,6,4,2,2,3,2,1,1,1,2,2,5,43,2,0,4
5,5,4,2,6,5,6,3,3,4,4,7,3,29,0,0,0
5,6,2,2,2,1,5,1,1,1,4,1,1,34,0,0,3
1,1,1,1,1,1,2,2,1,2,2,1,5,44,5,2,1
2,2,5,4,3,2,2,2,2,2,2,2,5,37,0,1,3
2,5,2,2,2,4,6,6,5,4,4,4,4,47,0,2,8
4,5,7,1,1,2,1,1,1,1,1,1,5,26,0,4,5
5,2,2,2,2,1,1,1,1,1,1,5,2,39,0,0,3
6,5,5,1,4,1,1,3,3,3,3,1,1,30,1,1,4
1,5,1,1,2,2,2,1,1,1,5,1,2,31,0,1,5
4,1,5,2,1,2,3,1,1,1,1,1,4,23,0,0,0
5,5,1,1,1,1,1,1,1,1,1,1,3,34,0,0,1
5,6,1,1,1,1,2,1,1,1,4,4,2,22,0,1,5
5,3,3,3,3,1,2,6,6,3,2,3,5,47,1,4,4
3,2,5,4,3,4,3,5,5,4,4,3,7,52,4,5,6
5,5,5,5,5,1,1,1,1,1,1,1,4,40,0,0,0
6,6,5,5,3,5,6,6,6,3,5,6,7,35,0,3,6
5,5,5,2,3,4,4,2,2,2,2,2,4,35,0,2,5
4,5,4,3,1,5,1,5,4,4,4,1,2,26,0,0,2
5,5,2,2,3,3,4,5,5,2,2,3,4,36,0,0,6
3,1,1,1,1,1,1,4,1,3,1,4,4,29,0,0,5
2,1,1,1,1,1,1,1,1,1,1,1,4,24,0,1,1
5,5,2,2,2,2,2,2,2,2,2,2,2,56,1,4,3
5,5,4,4,4,4,4,5,3,4,4,4,4,45,3,1,4
1,1,1,1,1,1,6,1,1,1,2,1,5,42,0,0,11
1,1,1,1,1,1,1,1,1,1,1,1,2,16,0,0,0
5,4,2,2,2,3,4,3,2,3,4,4,5,42,3,3,3
5,5,1,1,1,1,1,5,5,2,5,4,1,35,0,1,6
7,7,4,4,5,5,5,5,5,4,4,5,4,44,1,6,6
7,7,4,3,2,1,2,1,1,1,1,1,5,35,0,0,0
6,6,2,2,2,2,2,2,2,2,2,5,5,41,0,4,3
2,5,1,1,1,2,2,2,2,2,2,3,4,33,0,1,6
1,4,1,1,1,4,5,1,1,1,1,1,2,34,0,2,6
1,1,1,1,1,1,1,1,1,1,1,1,8,26,0,0,6
2,4,2,2,1,1,4,4,5,1,1,1,2,35,0,3,9
4,4,4,4,4,4,4,4,4,4,4,4,2,47,1,3,6
6,7,5,3,3,6,6,6,6,2,2,7,8,29,0,1,0
7,7,7,4,7,7,7,4,4,3,3,7,7,68,6,6,8
5,4,6,4,5,4,6,5,5,4,4,5,5,35,1,2,6
2,1,5,4,4,4,4,5,4,3,3,5,3,46,1,7,9
2,2,1,1,1,1,1,1,1,2,2,1,2,30,0,0,5
4,4,4,4,4,4,4,4,4,4,4,4,4,45,6,6,6
2,5,1,1,2,1,2,2,2,2,2,2,2,37,0,0,8
2,5,3,3,3,3,3,2,2,2,2,2,3,60,6,7,6
4,4,3,1,1,1,1,4,4,1,1,1,1,31,0,0,7
5,2,4,2,2,1,5,1,4,4,4,4,5,40,0,2,6
5,5,3,1,1,4,3,4,1,2,4,1,4,25,0,0,0
5,2,1,1,1,1,1,1,1,1,1,1,1,20,0,0,4
5,5,2,2,2,3,5,1,1,1,1,1,4,32,0,0,6
7,6,6,1,1,1,1,1,1,1,1,1,3,42,0,0,0
2,5,5,1,1,1,1,1,1,1,5,1,2,33,0,0,2
1,1,1,1,1,1,1,1,1,1,1,1,7,51,0,1,6
5,5,5,5,6,5,6,5,5,5,5,7,2,56,0,9,7
6,6,1,1,1,1,1,1,1,1,1,1,1,14,0,0,0
5,5,5,6,5,5,5,5,5,5,5,5,3,51,8,7,6
1,1,1,1,1,1,1,1,1,1,1,1,2,41,0,0,2
1,5,1,1,1,1,1,1,1,1,1,1,4,12,0,0,2
4,4,3,4,3,3,4,3,4,4,3,3,2,42,5,4,5
7,6,7,6,5,1,1,4,4,4,4,4,2,49,0,0,6
1,2,2,1,2,1,1,1,1,1,4,1,8,24,0,0,4
1,1,1,1,1,1,1,5,4,2,5,1,1,30,0,4,4
2,2,2,2,2,2,2,2,2,2,2,2,2,63,1,5,8
5,3,4,1,1,1,1,1,1,1,1,1,2,33,0,0,7
6,6,4,4,4,6,7,1,4,4,7,4,2,35,0,0,0
6,6,1,1,1,1,1,2,2,2,4,1,4,44,0,0,2
2,3,4,4,4,2,3,2,2,2,2,2,4,33,0,3,1
6,2,1,1,1,2,6,2,1,1,4,5,2,32,0,0,4
1,4,2,2,4,1,4,1,1,2,4,4,5,37,3,1,3
1,2,2,3,2,1,3,2,3,3,2,2,3,38,2,2,4
5,4,4,2,2,4,4,4,4,4,4,4,4,30,0,1,1
2,2,2,2,2,1,1,1,1,1,1,1,7,31,0,1,3
4,3,5,5,4,5,5,1,5,6,6,5,2,48,0,8,8
6,6,5,4,4,4,4,4,4,4,4,4,7,45,6,6,6
5,5,4,3,3,3,4,2,2,2,2,4,4,36,1,3,6
6,6,6,4,4,7,7,6,7,7,6,7,8,60,5,4,5
5,5,6,6,5,6,6,7,6,6,6,7,5,36,4,8,7
4,5,1,1,1,1,1,1,1,1,1,2,4,24,0,0,3
2,2,5,2,2,2,3,2,5,2,1,3,4,26,1,3,5
6,6,6,6,6,6,6,6,5,6,4,6,8,37,0,0,0
5,5,3,2,1,3,3,5,5,5,3,5,7,36,0,3,4
5,5,4,4,2,4,5,5,5,2,4,4,5,51,5,4,5
4,5,2,2,2,3,3,1,2,2,2,1,4,32,1,2,5
1,1,6,4,1,1,6,1,1,1,1,1,4,56,1,7,6
6,5,4,4,2,2,2,1,1,2,2,4,8,40,3,3,5
4,4,3,3,3,5,5,4,4,4,4,5,4,50,2,3,5
2,4,4,4,2,2,2,5,2,2,2,2,7,36,0,0,2
5,5,4,4,4,2,5,1,1,1,1,2,7,51,5,4,4
1,5,2,2,1,1,1,6,2,1,1,1,5,18,0,0,4
5,6,5,2,2,3,3,2,2,3,5,4,2,53,0,1,1
7,7,7,7,7,6,7,2,2,7,7,7,2,30,0,4,0
1,1,4,3,1,1,1,1,1,1,7,1,5,33,0,1,4
1,1,5,2,1,1,1,1,1,1,7,1,5,32,0,0,5
4,4,4,3,5,4,7,4,4,7,7,7,7,32,2,7,12
2,6,1,1,1,1,1,1,1,1,1,1,5,27,0,1,1
5,6,1,1,1,1,1,1,1,1,1,1,5,49,0,4,6
5,5,7,6,4,7,4,5,4,7,4,4,4,50,7,10,9
6,6,4,4,3,4,4,2,2,2,2,2,2,41,1,4,6
5,7,2,3,5,2,6,5,5,5,5,4,3,47,0,3,3
2,2,3,2,2,2,2,3,3,2,2,2,4,37,1,4,7
6,6,3,1,3,2,2,2,2,2,2,2,5,41,0,1,3
4,5,2,2,2,4,4,4,4,2,2,4,4,40,0,4,12
2,2,2,2,2,2,2,4,4,4,4,4,2,40,0,3,5
2,5,2,2,2,5,1,5,3,4,4,3,2,43,5,5,7
7,7,1,1,1,1,3,1,1,1,1,1,1,43,0,0,0
1,3,1,1,2,1,1,1,1,1,1,1,2,43,0,0,6
6,6,5,2,2,2,2,1,1,1,1,1,2,26,0,0,4
4,4,5,4,4,4,4,4,4,2,4,3,8,40,3,0,0
4,4,5,2,5,7,4,7,7,6,5,6,4,44,1,3,5
2,6,1,1,1,1,1,1,1,1,1,1,4,31,0,0,0
4,4,4,4,4,1,1,1,1,2,2,2,1,52,3,0,1
2,2,2,2,2,2,2,2,2,2,2,2,7,41,0,2,6
1,1,2,2,2,1,1,1,1,1,1,1,4,42,0,0,4
5,5,3,2,2,2,2,5,3,3,3,4,7,39,3,3,4
5,5,2,2,2,2,3,4,4,3,3,4,4,48,2,2,3
6,6,5,4,5,6,5,5,6,4,5,4,3,42,0,0,4
7,4,5,5,5,4,6,4,4,2,6,4,8,41,0,0,5
4,4,4,4,4,4,4,4,4,4,4,7,4,58,6,6,6
6,6,3,1,2,1,1,1,1,1,1,1,4,21,0,0,0
6,6,4,4,4,5,5,2,2,4,5,5,4,52,0,0,0
6,2,1,1,2,3,7,4,1,1,1,4,2,41,1,2,9
7,4,6,4,7,5,7,6,6,2,6,7,5,41,2,5,5
5,6,5,5,4,4,1,3,1,5,7,7,4,53,0,2,2
5,5,1,1,1,1,1,1,1,1,1,1,5,25,1,0,1
5,7,4,2,2,4,3,2,2,2,2,4,4,35,0,3,6
4,4,4,4,4,4,4,4,4,4,4,4,4,51,0,3,6
7,7,7,5,5,4,7,5,5,6,7,5,4,57,0,0,0
1,1,4,2,1,3,6,4,1,1,1,4,4,33,0,5,6
1,1,1,1,1,1,1,1,1,1,1,1,2,48,0,0,6
7,6,7,7,2,3,6,7,7,7,7,7,4,53,1,8,4
7,7,5,4,5,5,7,4,4,4,4,6,4,51,0,4,5
5,5,4,4,5,5,5,4,4,4,5,5,4,36,0,5,3
6,2,3,3,3,3,2,2,2,4,4,7,4,41,0,9,5
4,4,4,4,4,1,1,4,4,4,4,2,3,35,0,3,1
7,7,7,7,7,7,4,7,7,6,6,7,7,71,8,12,8
4,2,2,1,2,1,1,1,1,1,1,1,3,16,0,4,4
5,3,4,2,1,1,1,1,5,1,1,1,7,37,0,2,5
2,2,5,1,1,1,1,1,1,1,1,1,4,15,1,0,5
6,6,1,1,1,1,1,1,1,1,1,1,1,38,2,0,0
4,5,2,2,2,2,3,2,1,5,2,2,4,44,0,4,6
4,4,5,4,4,4,5,4,4,4,4,5,5,39,1,3,3
7,7,5,6,7,6,5,6,7,5,6,7,7,32,2,3,9
4,7,6,3,5,6,7,7,7,7,7,7,4,66,1,11,12
3,5,2,1,1,2,2,2,2,1,2,1,2,28,0,0,2
6,5,5,3,4,2,3,1,1,1,1,2,4,43,0,2,6
5,5,5,2,3,5,3,2,5,2,2,4,4,38,0,1,8
1,5,4,2,2,2,3,2,4,3,4,2,2,16,0,0,6
4,2,4,2,1,1,1,2,2,1,1,2,5,50,0,1,6
6,6,4,4,4,5,5,5,5,4,5,4,4,39,0,4,6
2,4,1,1,1,1,1,1,1,1,1,1,4,24,0,0,0
4,5,4,4,4,5,7,6,6,6,4,4,4,25,4,8,6
3,5,1,1,1,1,5,1,1,1,1,1,5,27,0,5,7
5,2,4,2,4,2,4,2,2,2,2,2,2,26,0,0,5
5,2,4,2,2,2,2,2,2,2,2,2,3,29,3,3,3
6,5,2,1,1,4,1,3,3,4,3,2,3,43,0,1,4
4,5,4,3,4,2,5,4,4,4,4,4,1,38,3,0,3
5,6,4,3,3,5,4,4,4,4,4,3,2,50,0,5,11
5,4,3,3,2,3,4,4,4,4,4,2,2,28,0,0,0
5,5,2,2,2,2,2,1,1,1,1,5,5,50,2,7,9
6,5,5,3,3,2,4,4,4,2,3,3,7,3,0,0,5
7,7,7,7,7,6,4,5,3,6,6,7,7,45,2,11,8
4,4,5,4,5,5,5,4,5,4,4,5,4,48,7,8,8
7,7,7,6,7,7,6,7,7,7,7,7,8,72,4,11,5
5,5,3,3,2,2,5,2,2,3,5,3,2,39,2,4,3
1,2,1,1,1,2,2,2,2,2,2,2,3,31,0,4,2
1,1,1,1,1,1,1,1,1,1,1,1,4,49,0,4,6
7,7,4,4,7,7,4,5,4,4,4,4,2,49,2,0,0
5,5,3,2,3,2,2,3,2,2,5,2,2,35,3,3,3
6,7,3,2,3,2,2,1,1,1,1,1,1,30,0,0,2
5,5,2,2,2,4,4,4,4,5,4,1,5,41,0,1,0
5,6,5,5,5,4,5,2,2,2,6,3,7,35,0,1,7
4,4,5,3,3,4,4,5,5,3,3,3,2,35,3,3,3
6,5,2,2,2,2,2,2,2,2,2,2,4,49,3,3,3
4,5,2,2,2,2,2,2,2,2,2,2,2,35,0,3,5
2,2,5,4,5,5,6,1,1,1,2,6,8,55,3,12,9
4,4,4,1,1,1,1,1,1,1,1,1,2,39,0,3,4
7,7,2,1,5,1,1,1,5,5,5,1,5,12,0,0,0
4,4,5,4,4,4,5,6,6,6,6,4,4,45,3,4,6
2,2,2,3,5,2,6,6,3,5,1,2,2,23,0,5,6
6,6,3,2,2,2,2,2,2,2,2,2,1,20,0,2,2
3,3,5,3,3,3,5,5,5,3,5,3,2,36,0,1,6
5,4,4,3,4,2,4,1,1,1,1,1,2,33,0,0,0
4,4,4,4,4,4,4,4,4,4,4,4,5,40,6,6,6
3,3,6,5,5,4,5,6,5,2,2,7,8,66,6,11,9
5,4,5,3,4,3,3,4,4,4,4,4,4,42,1,3,6
5,4,2,1,1,1,3,1,1,1,1,1,2,29,0,0,2
4,5,6,5,2,5,4,4,4,5,5,6,5,56,0,5,6
4,4,1,1,1,1,1,1,1,1,1,1,4,18,0,0,2
5,3,3,1,1,1,1,1,1,1,1,1,3,35,0,0,5
7,7,3,2,5,6,3,7,7,7,7,7,3,52,0,4,6
7,7,3,3,3,3,3,1,1,1,1,5,5,35,1,1,6
3,4,4,4,4,4,4,4,4,4,4,4,5,71,4,8,6
5,5,4,3,3,2,3,2,2,2,2,2,7,40,0,5,5
7,7,6,5,6,5,6,6,6,6,6,4,2,44,3,7,5
1,2,3,1,2,1,1,1,1,1,1,1,7,39,0,0,0
7,7,1,1,1,5,7,5,5,1,1,7,3,40,4,0,0
5,4,5,5,4,2,2,2,2,2,2,2,4,40,3,3,3
5,3,1,1,1,3,5,1,1,1,1,1,3,41,0,1,6
1,1,2,1,3,1,2,4,4,1,6,2,8,35,0,2,5
5,4,3,2,1,2,5,4,4,3,4,3,5,25,0,1,2
5,5,4,2,2,1,1,1,1,1,1,1,2,44,0,0,2
6,6,4,2,4,1,1,4,4,4,4,2,4,39,0,1,7
7,6,6,4,4,6,7,7,7,4,5,7,4,50,1,4,4
4,4,4,4,4,4,4,4,4,4,4,4,7,48,5,5,6
5,5,2,2,2,2,2,2,4,3,4,4,4,41,0,1,3
5,5,4,4,5,1,1,4,4,3,3,1,7,50,0,3,4
5,4,5,4,2,1,2,5,4,5,5,4,4,37,0,0,4
5,4,1,1,1,1,1,1,1,1,5,1,2,41,0,0,4
6,6,6,4,4,6,6,7,7,4,5,6,7,31,1,4,5
5,4,2,2,2,4,5,2,2,2,2,4,7,29,2,3,4
7,7,5,4,5,3,5,2,2,2,2,5,4,38,0,1,5
7,7,1,1,1,5,7,2,2,2,2,1,5,49,0,3,6
3,5,4,3,2,2,2,2,2,2,2,2,2,53,0,2,7
3,3,3,3,3,3,5,4,4,4,4,3,7,33,0,3,5
5,5,5,2,2,2,2,2,2,2,2,2,7,34,3,3,4
5,3,3,3,3,3,3,3,3,3,3,3,5,39,1,3,4
1,1,2,1,1,1,1,1,1,1,1,1,5,51,0,6,6
6,6,1,1,2,1,1,1,1,3,6,1,7,27,0,0,1
1,1,1,1,1,1,2,4,4,4,3,6,3,43,0,1,3
5,5,5,4,4,6,6,6,6,1,1,6,7,38,0,3,5
6,3,4,2,2,2,2,2,2,2,2,2,1,43,0,1,6
3,1,1,1,4,5,4,3,4,1,5,1,2,29,0,0,9
6,5,2,1,1,4,3,4,3,3,3,4,4,37,0,0,2
2,2,2,2,2,2,2,2,2,2,2,2,2,37,0,2,6
3,1,5,2,1,2,2,2,2,4,4,4,7,21,0,4,10
5,5,5,3,2,2,2,2,2,2,2,2,4,38,3,3,3
6,6,4,4,4,4,4,4,4,4,4,6,4,40,2,8,6
3,2,1,1,1,1,1,1,1,1,1,1,4,33,3,1,6
5,5,3,2,2,3,5,5,5,2,1,4,3,27,0,4,9
5,5,6,3,5,1,6,1,1,1,1,2,4,38,0,5,4
7,7,7,7,7,7,7,7,7,7,7,7,2,64,6,9,12
7,7,4,4,4,4,4,2,2,2,2,5,4,41,0,5,3
6,6,2,1,2,1,2,3,5,1,1,2,7,31,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,2,25,0,0,0
2,5,5,1,1,1,1,1,1,1,1,1,4,19,0,4,0
7,6,7,6,6,6,6,6,5,5,5,7,7,24,7,9,11
6,6,5,4,4,5,4,4,4,4,6,7,7,38,0,0,3
2,2,2,2,2,2,2,2,1,1,1,1,2,22,0,0,4
6,4,4,2,2,1,1,1,1,1,1,1,8,32,2,4,5
4,5,4,2,2,2,1,4,4,1,1,5,1,33,0,0,4
5,5,2,1,1,1,1,5,4,4,4,1,4,43,0,0,4
5,5,4,2,2,2,2,2,2,1,1,1,5,38,0,0,0
2,2,3,1,1,3,2,1,1,1,1,1,2,24,0,0,2
6,6,5,2,2,1,6,4,4,4,4,4,4,36,0,4,6
7,7,6,5,5,6,7,3,3,2,5,7,7,41,5,9,7
2,5,4,4,3,6,6,4,4,7,7,7,8,65,6,9,8
5,5,4,2,2,2,2,2,2,2,2,2,3,30,3,1,4
2,5,6,2,2,2,3,2,2,2,2,4,4,42,1,0,5
6,5,2,2,2,3,3,3,3,5,5,2,3,28,2,0,2
1,1,2,2,2,1,1,2,2,2,1,1,4,54,0,3,9
7,6,6,5,4,4,5,1,1,1,1,2,7,40,6,7,5
5,6,3,3,1,1,5,2,2,1,2,7,4,61,5,12,12
5,5,2,2,2,2,2,2,2,2,3,2,3,38,1,0,5
3,3,4,2,2,1,2,2,2,2,2,2,2,30,0,0,5
5,6,5,3,4,3,5,6,6,5,5,5,3,35,2,7,6
2,2,2,2,2,2,2,2,2,2,2,2,4,42,0,3,6
7,7,3,2,3,7,6,2,2,3,2,3,3,38,2,3,7
7,7,4,4,3,4,5,4,4,3,3,4,2,38,0,1,6
5,5,5,4,2,4,4,6,5,5,5,4,7,31,0,1,0
2,4,4,4,3,2,2,4,4,2,2,5,4,15,1,3,5
5,5,5,5,5,5,5,4,4,4,4,5,4,48,5,8,6
4,4,1,1,1,1,5,1,1,1,1,1,2,24,4,0,5
7,7,7,7,7,7,7,7,7,7,7,7,8,58,3,12,11
7,6,6,4,2,2,6,2,2,2,2,2,4,54,1,4,3
4,5,5,2,3,6,6,5,5,4,4,4,4,43,1,3,6
6,2,5,5,2,5,2,2,2,2,2,1,4,52,0,1,0
1,1,1,4,4,4,4,4,4,4,4,4,4,44,3,3,5
4,5,4,1,1,1,1,1,1,3,2,1,4,49,0,0,5
3,3,6,1,1,1,2,2,2,1,1,1,4,39,0,0,0
6,6,5,3,5,5,6,6,6,4,2,3,8,34,3,6,9
7,6,4,4,5,1,6,1,1,1,1,3,2,63,0,4,11
6,6,4,5,5,4,5,1,1,1,1,6,2,33,3,10,9
7,7,1,1,1,5,5,1,1,1,1,1,3,42,0,0,2
7,5,7,7,7,7,7,7,7,7,7,7,8,70,6,12,10
7,6,7,7,6,4,7,6,6,6,6,6,4,36,3,4,6
5,4,5,2,2,1,1,4,3,3,3,2,4,22,4,0,1
5,5,4,2,2,4,2,4,2,2,4,3,4,34,0,4,5
5,4,5,1,1,1,1,1,1,1,7,1,2,42,0,0,2
6,7,4,5,4,7,7,7,7,7,6,7,3,46,4,10,7
6,6,6,2,2,1,1,1,1,1,1,1,8,36,0,1,0
6,5,7,6,6,7,6,7,6,4,6,7,8,54,1,8,4
1,1,1,1,1,1,1,1,1,1,1,1,4,18,0,4,3
4,5,4,3,3,1,1,1,1,1,1,1,7,35,0,0,0
5,3,3,3,3,4,3,3,3,5,5,3,7,31,3,9,8
6,5,2,3,2,5,3,2,1,4,6,7,4,56,3,7,7
2,2,1,1,1,1,1,1,1,1,1,1,3,39,0,0,0
7,5,2,1,2,5,7,7,7,3,4,4,4,40,2,0,1
7,7,5,5,7,5,5,5,5,5,6,7,4,48,3,3,3
1,1,1,1,1,1,1,1,1,1,1,1,2,30,0,0,4
6,6,5,3,6,6,2,7,6,7,7,7,3,41,0,5,8
7,7,6,6,6,5,6,1,1,1,5,7,7,58,1,7,0
5,5,2,2,2,2,5,2,2,2,2,2,5,26,0,0,2
5,1,2,2,2,3,4,1,1,1,3,4,4,35,0,2,8
7,6,6,6,6,4,5,4,4,5,6,6,8,64,4,9,6
2,5,3,2,2,2,2,5,4,2,4,2,2,25,0,0,1
1,1,1,1,1,1,2,2,2,2,4,1,2,37,0,0,3
6,6,7,7,6,4,4,4,4,4,4,6,7,59,3,8,6
6,6,2,2,2,1,1,6,6,1,1,1,2,21,0,0,6
5,6,5,5,5,4,4,2,2,1,3,4,4,39,4,4,6
4,4,5,5,6,5,6,4,4,6,6,5,2,45,8,8,9
3,3,3,3,3,2,2,2,2,2,2,2,5,40,3,3,5
6,7,6,5,6,6,7,4,4,7,5,7,4,46,0,0,1
4,1,4,1,1,4,4,1,1,1,5,1,4,29,0,0,6
6,7,6,4,4,2,4,4,4,4,4,1,7,47,0,0,0
6,5,3,3,4,3,3,4,4,4,4,4,4,43,0,1,5
5,4,2,1,4,1,5,2,1,1,2,1,2,43,0,5,4
5,3,2,3,4,5,5,5,5,3,5,5,7,33,2,5,9
4,2,2,2,2,2,2,1,1,2,1,1,5,63,0,5,2
5,2,2,1,1,1,1,1,1,1,1,1,2,38,0,0,7
5,4,6,4,1,5,7,1,1,1,4,6,7,26,0,3,5
4,5,2,2,2,3,4,2,2,2,4,4,2,36,0,1,6
4,4,4,3,3,2,2,2,2,2,2,2,1,27,1,3,5
1,1,1,1,1,1,1,1,1,1,1,1,4,31,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,15,0,0,1
5,4,4,4,4,4,4,4,4,4,4,4,2,49,3,7,6
7,6,7,7,6,6,6,2,2,1,2,6,4,41,0,3,3
1,1,1,1,2,1,1,5,7,1,4,1,7,35,0,0,0
2,2,1,1,2,2,2,1,1,1,1,2,5,37,3,2,5
6,5,2,2,3,2,2,1,1,1,1,1,7,45,0,4,6
5,6,3,3,3,2,5,5,5,3,3,3,2,40,0,0,3
5,6,3,2,4,2,3,5,5,2,2,5,2,46,0,4,6
5,5,4,3,3,4,5,6,6,2,4,5,2,31,3,3,3
4,4,5,5,5,5,4,4,4,4,4,4,4,53,9,8,9
6,6,5,3,3,2,4,5,5,2,4,2,7,46,0,1,4
5,3,5,3,4,2,2,2,2,2,2,2,4,41,1,3,3
6,6,7,2,2,6,5,2,2,5,5,4,4,30,0,0,0
5,5,4,3,4,5,6,4,5,3,3,6,3,30,0,4,4
5,5,3,3,3,3,3,3,3,3,3,3,3,40,3,3,3
2,2,6,4,6,1,1,1,1,1,1,1,2,57,0,3,6
5,5,1,1,1,1,5,1,1,5,2,2,2,45,0,0,0
1,1,1,1,1,1,1,3,2,1,5,4,2,20,0,4,12
1,1,5,5,3,1,1,1,1,1,1,1,4,22,0,0,0
6,4,3,3,3,5,3,3,3,3,3,3,5,45,3,5,9
4,4,4,4,4,4,5,4,4,4,4,4,3,29,1,3,6
2,3,2,2,3,2,2,2,2,2,2,2,2,31,6,4,6
4,1,4,4,1,4,4,4,4,4,4,4,2,24,0,1,4
5,4,2,2,2,2,2,2,2,2,2,2,1,21,0,0,0
7,7,5,4,4,4,4,4,4,1,1,4,4,34,0,0,6
6,6,5,3,4,4,5,3,3,3,4,4,3,53,3,4,6
2,2,2,1,1,1,1,1,1,1,1,1,5,26,0,0,5
5,2,2,1,1,1,5,2,1,1,1,3,2,26,0,0,4
4,2,1,1,1,1,1,1,1,1,1,1,7,44,0,0,0
7,7,7,5,7,6,7,6,5,5,7,7,7,25,0,3,8
1,2,2,2,2,2,2,2,2,2,2,2,2,48,9,9,9
4,3,3,3,3,3,3,1,1,1,1,1,4,34,0,6,5
7,7,7,7,7,7,7,6,4,4,7,7,7,72,4,11,9
6,7,7,6,4,4,4,4,4,4,4,5,7,53,5,6,4
5,6,5,5,5,3,3,1,1,1,4,5,2,26,0,2,1
5,5,1,1,4,1,1,1,1,1,1,1,2,33,0,0,3
1,1,2,2,2,1,1,4,4,4,4,4,7,34,0,0,4
7,7,1,1,1,1,1,1,1,1,1,4,7,36,0,0,6
1,1,1,1,1,1,1,1,1,1,1,1,2,46,0,0,2
4,3,2,6,4,4,5,2,2,2,2,4,3,45,0,0,0
