BRE,HEA,SEC,INE,FAC,HAS,HAB,SIL,UGL,UNT,UNE,PR,POL,VAX,DIS,EXA,ROB
6,5,6,1,2,1,2,4,4,1,7,7,4,24,0,0,1
5,5,1,1,1,1,1,1,1,1,1,1,2,27,0,0,6
5,4,3,3,1,2,1,1,1,1,1,1,4,15,0,0,6
2,5,5,1,2,1,2,1,1,1,1,1,3,40,0,0,4
4,5,2,2,2,4,5,4,4,2,4,2,2,34,1,1,6
5,5,5,1,1,1,1,1,1,1,1,1,5,28,0,0,2
5,5,2,2,2,2,3,2,2,2,2,2,7,41,3,5,6
5,5,5,3,2,2,5,4,4,3,3,3,7,30,1,6,9
4,2,4,2,2,2,4,2,4,2,2,4,4,32,5,4,5
5,7,3,3,2,4,3,5,5,5,4,4,3,28,1,10,5
7,7,7,4,4,7,5,7,4,7,6,7,4,37,6,9,6
5,2,1,1,1,5,6,5,5,1,1,6,5,18,1,6,4
7,7,7,7,7,7,7,7,7,7,4,7,5,69,7,7,9
3,5,3,2,5,4,6,6,5,6,5,4,4,58,1,3,10
5,5,2,2,1,2,2,2,2,1,1,1,1,30,1,0,3
6,4,3,1,1,1,1,1,1,1,1,1,4,39,0,1,4
5,5,7,6,4,4,6,5,5,5,4,7,7,39,4,8,6
1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,0,0
4,4,7,7,7,7,7,7,7,7,7,7,7,65,4,12,12
7,7,7,7,7,7,7,7,7,7,7,7,7,59,12,12,12
3,2,3,2,2,2,1,2,3,2,4,1,1,40,1,3,9
1,1,1,1,1,1,1,1,1,1,1,1,2,32,3,0,1
7,7,2,2,2,2,2,1,1,2,2,2,8,39,0,0,0
6,7,1,1,1,5,5,5,5,3,1,1,4,22,0,0,4
5,5,3,3,6,4,5,2,2,2,2,4,2,47,0,0,6
5,4,5,4,5,4,6,5,5,5,5,6,5,43,2,8,7
5,4,2,2,2,1,5,4,4,2,2,2,4,38,3,4,5
5,5,2,1,2,1,2,2,2,2,4,3,4,63,0,2,5
5,5,3,3,3,5,5,2,2,2,3,4,2,32,3,3,5
7,6,6,6,6,7,6,6,6,5,5,7,2,54,6,5,9
5,5,3,2,3,3,5,4,3,4,5,4,1,28,0,4,5
7,7,4,3,2,1,1,4,2,1,1,4,2,31,0,0,0
4,4,4,4,4,4,4,4,4,4,4,4,4,45,6,4,4
6,5,7,5,5,5,5,6,6,7,5,6,4,44,1,6,6
5,6,4,3,5,7,3,7,7,5,5,7,8,46,0,0,3
6,6,3,2,1,5,3,7,7,1,4,5,4,49,0,0,5
7,6,5,6,7,6,7,6,5,4,5,6,2,48,11,9,6
2,3,3,2,2,2,2,2,1,1,1,1,4,44,5,5,3
5,4,3,2,2,1,3,4,4,2,4,4,7,39,0,1,12
4,2,1,1,1,1,1,1,1,5,5,1,5,40,4,0,6
4,2,1,1,1,5,4,1,1,2,2,1,4,33,4,0,6
5,4,5,4,5,5,5,2,2,2,2,6,4,44,0,1,6
1,2,2,2,2,1,1,1,1,1,1,1,5,23,0,0,5
4,2,5,4,4,5,3,3,4,3,3,6,7,48,5,7,6
4,1,1,1,1,1,1,1,1,1,7,1,1,35,0,0,5
2,2,2,2,2,2,2,1,2,2,2,2,1,25,3,2,5
4,4,7,7,7,7,4,5,7,7,7,7,8,68,8,12,7
5,4,2,2,2,4,2,2,4,2,3,4,7,37,0,3,5
3,4,7,7,7,7,7,5,4,2,3,7,7,47,3,10,9
4,3,6,6,5,2,1,6,6,4,5,2,8,59,4,9,9
7,7,7,6,7,6,7,4,6,1,4,7,4,48,0,2,4
5,6,4,4,1,1,1,1,1,4,5,2,1,43,0,1,2
1,1,1,1,1,1,1,1,1,1,1,1,2,37,0,0,2
7,6,7,6,7,7,4,7,4,5,5,7,7,68,5,10,6
5,5,1,1,1,1,1,2,1,1,1,1,4,40,0,0,2
6,5,5,4,4,3,3,4,4,3,3,3,4,44,5,7,6
7,7,5,5,5,7,5,7,4,4,4,7,4,31,0,5,0
7,7,5,5,5,5,5,4,4,5,4,7,8,64,0,6,5
5,5,2,2,2,5,6,2,2,5,5,5,3,45,0,0,5
5,5,1,1,2,2,1,1,1,1,4,4,7,17,0,2,4
4,4,6,6,5,4,5,4,4,4,4,5,7,49,1,1,3
3,5,4,2,2,1,1,1,1,1,1,1,4,39,0,0,0
4,4,4,3,4,4,4,3,3,3,3,4,2,40,5,3,5
3,1,1,1,1,1,1,1,1,1,1,1,7,16,0,10,9
6,5,4,4,3,2,5,3,3,3,3,5,4,30,0,1,0
4,3,3,2,2,1,4,5,2,4,4,3,3,46,1,2,7
2,6,2,2,2,1,1,1,1,1,1,1,2,30,1,0,5
4,4,3,3,3,3,3,5,5,2,2,5,4,41,0,5,5
6,5,4,4,3,3,4,5,4,2,2,4,2,40,0,2,3
1,5,1,1,1,1,1,1,1,1,1,1,3,35,0,2,2
6,7,7,7,7,7,7,7,7,7,7,7,4,57,4,12,12
1,1,1,1,1,1,1,1,1,1,1,1,1,12,0,0,0
5,4,5,2,3,2,2,1,1,1,2,1,5,43,0,0,1
5,1,1,1,1,1,5,1,1,1,1,1,2,28,0,1,6
7,7,7,7,4,1,7,6,7,5,5,7,8,43,2,12,10
7,6,5,4,3,6,6,7,7,4,4,7,7,44,5,7,6
6,6,6,5,5,5,6,5,5,5,5,6,7,39,2,8,10
1,1,1,1,1,1,1,1,1,6,2,1,1,21,0,0,11
6,6,7,7,7,7,7,7,7,7,7,7,5,48,4,12,6
1,1,1,1,1,1,1,1,1,1,1,1,4,23,0,3,4
7,7,6,6,6,6,6,7,7,4,5,6,4,52,0,0,0
4,5,4,3,4,4,4,4,4,4,5,5,4,37,6,6,6
2,2,1,1,1,1,1,1,1,1,1,1,5,46,3,0,0
6,6,4,5,3,2,2,5,5,7,4,7,1,50,12,12,12
5,5,2,2,2,5,5,2,2,4,4,3,4,45,0,0,6
6,6,3,1,2,3,3,4,4,3,3,5,3,26,1,0,6
6,5,4,4,4,1,1,1,1,1,1,1,4,49,0,7,2
5,2,4,1,2,1,1,1,5,4,4,1,2,37,0,0,3
5,4,6,6,3,1,1,1,1,1,1,1,4,53,0,2,7
4,4,1,1,1,1,1,1,1,1,1,1,2,31,0,0,0
5,6,2,2,1,3,2,2,2,2,2,2,1,46,0,0,5
5,1,4,4,2,1,1,1,1,1,1,1,1,25,0,0,4
5,5,3,3,3,3,3,3,3,3,3,3,1,13,0,0,0
7,7,7,7,7,7,2,7,5,7,7,7,4,72,4,12,12
5,6,2,1,1,5,4,5,5,1,1,1,2,44,0,0,6
7,7,7,6,6,6,6,7,7,4,6,7,4,52,6,7,6
5,4,3,2,3,2,2,2,2,4,4,1,4,43,0,0,6
